User_Id,Place_Id,Place_Ratings
1,179,"3,00"
1,344,"2,00"
1,5,"5,00"
1,373,"3,00"
1,101,"4,00"
1,312,"2,00"
1,258,"5,00"
1,20,"4,00"
1,154,"2,00"
1,393,"5,00"
1,103,"3,00"
1,208,"5,00"
1,89,"3,00"
1,405,"5,00"
1,41,"5,00"
1,336,"4,00"
1,67,"4,00"
1,482,"4,00"
1,292,"3,00"
1,516,"3,00"
1,222,"3,00"
1,76,"2,00"
1,456,"2,00"
1,428,"3,00"
1,15,"3,00"
1,462,"3,00"
1,246,"4,00"
1,265,"5,00"
1,21,"2,00"
1,529,"2,00"
1,328,"2,00"
1,307,"4,00"
1,302,"2,00"
1,48,"2,00"
1,328,"2,00"
2,147,"2,00"
2,2,"5,00"
2,322,"4,00"
2,23,"3,00"
2,85,"4,00"
2,371,"3,00"
2,507,"3,00"
2,78,"5,00"
2,111,"2,00"
2,107,"2,00"
2,185,"2,00"
2,413,"3,00"
2,485,"3,00"
2,389,"2,00"
2,437,"5,00"
2,483,"5,00"
2,105,"2,00"
2,176,"3,00"
2,465,"3,00"
2,407,"5,00"
2,208,"5,00"
2,437,"4,00"
2,483,"4,00"
2,208,"3,00"
2,281,"2,00"
2,167,"2,00"
2,384,"5,00"
2,426,"4,00"
2,390,"2,00"
2,367,"2,00"
2,166,"2,00"
2,18,"5,00"
2,321,"3,00"
2,262,"3,00"
3,223,"5,00"
3,470,"5,00"
3,17,"5,00"
3,319,"5,00"
3,310,"3,00"
3,421,"3,00"
3,202,"5,00"
3,48,"2,00"
3,283,"3,00"
3,202,"3,00"
3,250,"2,00"
3,118,"2,00"
3,54,"2,00"
3,70,"3,00"
3,33,"4,00"
3,227,"2,00"
3,86,"4,00"
3,512,"4,00"
3,469,"4,00"
3,105,"5,00"
3,249,"3,00"
3,131,"4,00"
3,382,"2,00"
3,193,"2,00"
3,176,"2,00"
3,465,"2,00"
3,104,"3,00"
3,24,"4,00"
3,474,"4,00"
3,128,"5,00"
3,134,"3,00"
